Airline,Source,Destination,Total_Stops,Price,J_Day,J_Month,J_Year,Arrival_min,Arrival_hour,Dep_min,Dep_hour,Duration_hours,Duration_mins
144,6,2,1,1,9486,21,5,2019,55,0,5,13,11,50
145,4,3,0,1,10844,21,5,2019,35,23,0,20,27,35
146,4,2,1,2,15318,3,6,2019,25,4,0,20,8,25
147,1,2,1,1,5117,3,4,2019,25,9,30,12,20,55
148,3,2,1,1,6147,24,6,2019,0,20,10,15,4,50
149,6,2,1,1,7005,9,6,2019,0,21,50,12,8,10
150,8,3,0,0,3873,3,4,2019,40,0,20,22,2,20
151,4,2,1,2,9270,21,3,2019,50,18,25,18,24,25
152,2,0,2,0,3898,27,6,2019,30,14,40,11,2,50
153,4,3,0,1,14781,12,5,2019,45,20,25,8,12,20
154,4,3,0,1,8586,24,5,2019,15,8,0,20,12,15
155,1,3,0,2,10697,9,5,2019,55,7,20,8,23,35
156,4,2,1,2,14300,27,6,2019,35,12,0,20,16,35
157,3,0,5,0,8855,3,3,2019,45,21,55,18,2,50
158,4,3,0,1,10844,12,5,2019,15,18,30,16,25,45
159,4,2,1,1,17024,6,3,2019,25,4,15,2,26,10
160,4,3,0,1,9314,1,5,2019,25,14,35,9,28,50
161,3,0,5,0,4777,24,3,2019,25,3,40,0,2,45
162,1,3,0,1,7662,9,6,2019,15,13,0,12,25,15
163,3,2,1,1,6442,9,5,2019,10,16,50,6,9,20
164,8,2,1,1,5264,12,6,2019,15,13,45,8,4,30
165,4,2,1,1,12898,27,5,2019,25,4,0,13,15,25
166,1,4,3,0,6092,3,3,2019,25,15,55,13,1,30
167,8,0,2,0,3311,21,5,2019,35,8,55,5,2,40
168,4,2,1,1,6540,27,3,2019,25,4,15,19,9,10
169,3,0,2,0,3419,27,5,2019,15,4,30,1,2,45
170,4,2,1,1,5177,3,4,2019,35,12,0,14,22,35
171,1,2,1,0,8246,18,4,2019,10,21,5,18,3,5
172,4,3,0,1,14676,9,6,2019,5,21,35,9,11,30
173,6,2,1,1,13587,27,6,2019,0,21,30,11,9,30
174,4,3,0,1,9663,6,5,2019,20,9,10,21,12,10
175,4,3,0,1,13044,12,6,2019,5,10,30,16,17,35
176,3,2,1,1,5073,3,4,2019,30,1,25,20,5,5
177,9,3,0,1,9345,21,5,2019,50,18,0,17,25,50
178,4,3,0,1,9663,6,5,2019,5,10,5,14,20,0
179,6,2,1,1,14277,21,5,2019,0,21,0,8,13,0
180,4,2,1,1,10262,1,6,2019,25,4,0,10,18,25
181,4,4,3,0,5678,27,3,2019,5,21,35,19,1,30
182,6,2,1,1,13727,15,5,2019,30,1,0,16,9,30
183,4,3,0,1,9663,6,5,2019,0,12,0,20,16,0
184,3,1,4,0,3858,12,5,2019,5,17,45,14,2,20
185,8,2,1,1,4812,24,6,2019,15,13,45,8,4,30
186,3,2,1,1,5775,27,6,2019,35,3,50,21,5,45
187,4,3,0,1,10539,6,6,2019,45,9,35,9,24,10
188,3,3,0,0,4804,3,6,2019,5,18,30,15,2,35
189,0,0,2,0,3383,12,6,2019,55,13,10,11,2,45
190,3,0,5,1,8738,3,3,2019,5,17,10,12,4,55
191,1,2,1,1,7165,27,3,2019,50,6,15,5,25,35
192,3,2,1,1,6412,24,6,2019,30,22,10,16,6,20
193,4,0,2,0,8016,27,6,2019,0,22,55,18,3,5
194,4,0,5,1,11087,12,3,2019,15,15,35,20,18,40
195,8,1,4,0,3543,27,6,2019,0,12,45,9,2,15
196,4,3,0,1,12471,12,6,2019,40,4,30,16,12,10
197,4,2,1,1,10262,24,6,2019,25,4,0,9,19,25
198,1,0,5,0,4441,18,3,2019,10,16,20,13,2,50
199,6,2,1,1,12537,27,3,2019,30,15,5,7,8,25
200,2,3,0,1,10091,24,3,2019,40,7,25,22,9,15
201,1,0,2,0,6961,3,6,2019,55,23,5,21,2,50
202,3,2,1,0,5013,24,4,2019,50,8,35,5,3,15
203,1,2,1,0,6934,18,5,2019,0,8,10,5,2,50
204,6,2,1,1,10877,3,6,2019,0,19,40,6,12,20
205,4,0,2,0,7229,18,4,2019,10,18,15,15,2,55
206,3,2,1,1,7048,27,3,2019,35,1,0,16,9,35
207,9,0,2,0,4878,27,6,2019,35,19,0,17,2,35
208,4,3,0,1,10844,21,5,2019,35,23,5,14,9,30
209,4,2,1,2,15129,18,5,2019,25,4,5,23,29,20
210,3,0,2,0,3943,12,5,2019,25,3,30,0,2,55
211,8,2,1,1,5583,6,6,2019,20,11,5,6,5,15
212,6,2,1,1,9646,6,6,2019,10,16,5,7,9,5
213,6,2,1,1,7677,3,6,2019,15,19,30,8,10,45
214,3,2,1,1,6842,1,6,2019,5,10,10,5,4,55
215,4,4,3,0,4995,24,6,2019,15,10,45,8,1,30
216,9,3,0,1,9555,9,6,2019,50,18,10,7,11,40
217,3,0,2,0,4077,1,6,2019,15,4,30,1,2,45
218,4,0,2,0,7229,12,5,2019,10,18,15,15,2,55
219,6,2,1,1,12192,9,6,2019,0,19,0,9,10,0
220,1,0,2,0,5911,12,4,2019,45,12,0,10,2,45
221,1,2,1,1,8372,12,6,2019,15,19,0,9,10,15
222,4,4,3,0,4995,18,3,2019,35,8,10,7,1,25
223,6,2,1,1,14323,9,5,2019,15,19,0,10,9,15
224,4,2,1,2,13014,9,6,2019,25,4,30,5,22,55
225,1,2,1,2,13591,6,6,2019,15,19,25,14,28,50
226,4,2,1,2,18799,3,3,2019,50,18,25,5,37,25
227,3,0,2,0,3943,27,4,2019,20,2,30,23,2,50
228,8,4,3,0,1965,21,5,2019,15,7,45,5,1,30
229,4,4,3,0,4995,27,5,2019,50,11,20,10,1,30
230,1,3,0,1,14641,24,3,2019,30,18,50,16,25,40
231,1,3,0,0,4460,12,4,2019,20,23,45,20,2,35
232,1,2,1,1,10191,18,5,2019,15,19,0,13,6,15
233,4,2,1,1,13843,9,3,2019,45,19,15,2,17,30
234,3,2,1,1,6349,1,5,2019,35,3,50,21,5,45
235,0,3,0,0,4409,1,5,2019,55,12,20,10,2,35
236,4,2,1,1,17024,6,3,2019,45,19,15,18,25,30
237,6,2,1,1,13727,18,5,2019,0,21,5,7,13,55
238,3,0,5,0,8855,15,3,2019,20,21,25,18,2,55
239,6,2,1,1,12524,24,6,2019,0,19,45,8,10,15
240,4,0,5,1,13555,18,3,2019,20,20,40,11,8,40
241,4,3,0,1,10844,6,6,2019,0,12,30,6,5,30
242,6,2,1,1,13587,9,6,2019,0,21,0,9,12,0
243,8,1,4,0,3543,12,6,2019,0,12,45,9,2,15
244,9,1,4,0,4842,18,3,2019,20,9,5,7,2,15
245,3,0,2,0,3943,24,4,2019,20,2,30,23,2,50
246,4,2,1,1,10577,9,6,2019,25,4,15,19,9,10
247,3,2,1,1,6979,15,5,2019,0,21,35,10,10,25
248,9,1,4,0,11982,27,6,2019,5,20,45,17,2,20
249,8,2,1,1,5264,6,6,2019,15,13,45,8,4,30
250,9,2,1,0,8001,3,3,2019,10,9,0,6,3,10
251,1,2,1,2,10651,1,6,2019,15,19,45,19,23,30
252,4,3,0,1,10844,24,5,2019,50,19,30,16,27,20
253,6,2,1,1,6601,27,3,2019,20,22,45,9,12,35
254,1,2,1,1,6587,21,3,2019,15,19,0,19,24,15
255,8,4,3,0,3173,21,3,2019,30,14,10,13,1,20
256,1,0,2,0,5228,9,5,2019,45,12,0,10,2,45
257,4,0,2,0,5769,21,6,2019,10,10,10,7,3,0
258,4,2,1,1,14714,6,6,2019,0,19,0,8,11,0
259,4,2,1,2,13014,3,6,2019,0,19,30,5,13,30
260,3,0,2,0,3359,3,6,2019,0,1,10,22,2,50
261,2,0,5,0,6722,3,3,2019,50,23,55,20,2,55
262,3,3,0,0,4462,18,3,2019,20,12,35,9,2,45
263,3,2,1,1,6171,9,3,2019,10,16,55,4,11,15
264,1,3,0,2,12303,21,5,2019,25,20,50,5,14,35
265,6,2,1,1,7695,21,3,2019,35,1,40,11,13,55
266,3,2,1,1,5684,24,6,2019,30,1,25,11,14,5
267,1,3,0,1,8366,12,6,2019,55,7,50,16,15,5
268,1,1,4,0,19630,1,3,2019,55,13,40,11,2,15
269,4,0,5,1,13502,6,3,2019,5,5,5,14,15,0
270,4,3,0,1,14781,1,5,2019,5,10,10,21,12,55
271,6,2,1,1,6513,12,6,2019,10,16,10,7,9,0
272,1,2,1,1,9929,1,6,2019,15,19,0,7,12,15
273,6,2,1,2,18275,6,6,2019,30,1,50,17,7,40
274,1,2,1,1,4487,9,4,2019,25,9,5,6,27,20
275,3,4,3,0,2754,15,3,2019,45,22,20,21,1,25
276,1,4,3,0,2575,27,3,2019,40,7,20,6,1,20
277,8,3,0,1,8224,12,6,2019,25,21,55,15,5,30
278,1,2,1,1,8991,9,3,2019,15,8,30,20,11,45
279,3,2,1,0,5000,24,6,2019,50,8,35,5,3,15
280,4,3,0,1,8529,12,6,2019,50,19,55,18,24,55
281,1,2,1,1,14042,3,3,2019,25,9,5,6,27,20
282,4,0,2,0,4030,24,5,2019,5,14,10,11,2,55
283,4,3,0,1,10844,6,6,2019,0,12,55,18,17,5
284,3,3,0,0,4804,6,5,2019,5,0,25,21,2,40
285,6,2,1,1,7308,27,5,2019,30,1,30,17,8,0
286,3,0,2,0,4823,12,5,2019,55,19,55,16,3,0
287,4,2,1,1,10262,24,6,2019,35,12,0,9,27,35
288,4,2,1,1,12898,27,5,2019,25,4,55,20,7,30
289,1,0,5,2,12778,12,3,2019,20,16,25,17,22,55
290,3,2,1,1,14871,3,3,2019,20,13,45,4,8,35
291,1,2,1,2,8708,21,3,2019,15,19,20,13,29,55
292,4,3,0,1,10844,6,6,2019,15,18,0,20,22,15
293,8,4,3,0,4129,6,3,2019,5,7,45,5,1,20
294,3,3,0,0,4804,18,5,2019,5,0,25,21,2,40
295,4,0,2,0,7229,6,5,2019,20,11,20,8,3,0
296,4,0,5,1,7832,21,3,2019,10,19,0,7,12,10
297,8,1,4,0,3859,18,3,2019,5,12,30,9,2,35
298,6,2,1,1,9001,6,6,2019,15,19,30,7,11,45
299,9,0,2,0,4878,9,5,2019,35,19,0,17,2,35
300,3,4,3,0,2754,3,5,2019,5,4,35,2,1,30
301,9,0,2,0,4668,27,6,2019,40,9,0,7,2,40
302,0,3,0,0,5216,12,5,2019,55,12,20,10,2,35
303,4,2,1,2,10368,6,6,2019,25,4,30,5,22,55
304,3,2,1,2,8146,9,3,2019,20,21,40,6,14,40
305,4,2,1,1,12242,27,3,2019,25,4,0,13,15,25
306,4,0,5,1,9134,15,3,2019,15,15,0,8,7,15
307,1,2,1,2,10939,6,6,2019,25,9,15,13,20,10
308,1,2,1,2,11753,6,6,2019,40,7,55,10,20,45
309,8,3,0,0,4174,24,4,2019,40,19,10,17,2,30
310,4,3,0,1,10844,21,5,2019,50,19,0,20,23,50
311,4,2,1,1,14714,3,6,2019,0,19,0,16,27,0
312,4,3,0,1,9899,12,6,2019,0,12,30,6,5,30
313,3,2,1,1,14871,3,3,2019,0,21,10,9,11,50
314,3,1,4,0,7295,6,3,2019,35,15,20,13,2,15
315,1,2,1,2,13465,6,6,2019,15,19,45,18,24,30
316,8,1,4,0,3543,21,5,2019,5,20,45,17,2,20
317,6,2,1,1,7198,27,6,2019,30,1,0,19,6,30
318,4,2,1,1,10262,1,6,2019,25,4,0,8,20,25
319,3,3,0,0,4148,15,3,2019,55,17,20,15,2,35
320,4,0,2,0,8016,27,6,2019,10,18,15,15,2,55
321,4,2,1,1,10262,9,6,2019,25,4,50,22,5,35
322,8,3,0,0,3841,15,6,2019,25,17,55,14,2,30
323,4,0,5,1,11507,12,3,2019,30,0,45,9,14,45
324,4,3,0,1,14781,1,5,2019,45,20,25,8,12,20
325,4,2,1,1,16079,27,5,2019,0,19,30,17,25,30
326,4,2,1,1,12898,27,5,2019,25,4,50,22,5,35
327,6,2,1,1,15353,6,3,2019,15,19,30,7,11,45
328,3,0,5,0,7303,24,3,2019,20,21,25,18,2,55
329,8,3,0,1,6197,24,3,2019,45,20,5,15,5,40
330,1,3,0,1,8996,9,6,2019,15,13,10,9,4,5
331,3,2,1,1,6528,21,3,2019,20,22,20,14,8,0
332,2,0,2,0,4239,9,4,2019,40,23,55,20,2,45
333,3,3,0,0,4148,12,3,2019,5,23,25,20,2,40
334,8,0,2,0,3971,24,5,2019,5,0,10,21,2,55
335,0,3,0,1,5192,6,5,2019,30,23,35,7,15,55
336,4,2,1,2,9483,9,4,2019,35,12,25,13,23,10
337,4,2,1,2,18804,3,6,2019,0,19,40,11,7,20
338,1,2,1,0,5201,18,6,2019,0,8,10,5,2,50
339,4,2,1,1,16079,27,5,2019,0,19,30,11,7,30
340,4,0,2,0,7229,15,6,2019,50,22,50,19,3,0
341,6,2,1,1,6795,27,5,2019,30,1,45,17,7,45
342,4,3,0,1,10953,9,5,2019,55,10,35,9,25,20
343,6,2,1,2,15965,24,6,2019,30,1,5,15,10,25
344,1,2,1,2,9968,9,4,2019,15,19,55,12,30,20
345,3,3,0,0,4804,6,6,2019,50,0,15,22,2,35
346,4,2,1,1,16079,27,5,2019,0,19,0,10,9,0
347,4,2,1,2,11507,12,6,2019,35,12,25,21,15,10
348,1,3,0,2,11542,9,6,2019,45,13,25,9,28,20
349,4,0,2,0,7229,24,4,2019,45,20,45,17,3,0
350,4,0,2,0,4544,27,4,2019,45,8,0,6,2,45
351,3,2,1,1,6496,15,5,2019,5,10,10,5,4,55
352,3,3,0,0,4804,15,6,2019,5,0,25,21,2,40
353,1,0,5,1,13439,1,3,2019,15,9,5,11,22,10
354,4,2,1,1,6540,27,3,2019,25,4,15,18,10,10
355,3,0,2,0,4591,1,6,2019,20,2,30,23,2,50
356,3,0,5,1,4437,18,3,2019,35,20,15,16,4,20
357,0,2,1,1,6151,21,3,2019,10,7,10,20,11,0
358,4,0,2,0,7754,21,6,2019,45,20,45,17,3,0
359,4,2,1,1,10262,24,6,2019,35,12,0,14,22,35
360,4,0,2,0,8016,9,6,2019,0,22,55,18,3,5
361,8,3,0,0,4781,24,3,2019,35,9,55,6,2,40
362,9,0,2,0,4668,27,6,2019,20,14,30,11,2,50
363,1,0,5,1,14594,6,3,2019,55,8,50,11,21,5
364,4,3,0,1,14231,24,3,2019,45,4,55,16,11,50
365,1,2,1,1,8425,15,5,2019,50,6,15,5,25,35
366,6,2,1,1,9646,12,6,2019,30,22,5,7,15,25
367,3,1,4,0,7295,3,3,2019,5,17,40,14,2,25
368,0,3,0,1,5162,9,4,2019,30,10,50,6,3,40
369,3,0,5,0,6860,9,3,2019,20,21,25,18,2,55
370,9,2,1,0,6216,15,4,2019,10,9,0,6,3,10
371,0,3,0,1,5192,24,5,2019,25,19,35,7,11,50
372,3,0,2,0,4823,9,4,2019,50,22,0,20,2,50
373,8,0,2,0,3919,3,4,2019,20,12,30,9,2,50
374,3,4,3,0,2754,3,6,2019,35,20,5,19,1,30
375,6,2,1,1,9315,9,5,2019,0,19,30,7,11,30
376,6,2,1,1,11667,27,3,2019,50,18,0,10,8,50
377,4,3,0,1,6224,12,6,2019,40,4,25,8,20,15
378,1,3,0,2,13349,24,3,2019,35,5,25,9,20,10
379,4,0,5,1,11087,18,3,2019,0,9,55,16,16,5
380,6,2,1,1,15603,6,3,2019,35,1,0,13,12,35
381,4,2,1,2,15129,9,5,2019,35,12,30,19,17,5
382,3,0,2,0,4823,9,4,2019,55,19,55,16,3,0
383,9,3,0,1,8452,1,5,2019,40,22,10,7,15,30
384,6,2,1,1,12524,6,6,2019,0,19,30,7,11,30
385,8,1,4,0,3384,27,3,2019,5,20,45,17,2,20
386,4,2,1,1,10262,1,6,2019,0,19,15,19,23,45
387,8,4,3,0,1965,18,6,2019,45,14,15,13,1,30
388,3,3,0,0,4804,18,5,2019,50,0,15,22,2,35
389,4,2,1,1,16079,27,5,2019,0,19,15,18,24,45
390,4,2,1,2,13292,1,6,2019,0,19,25,21,21,35
391,0,2,1,1,6751,9,5,2019,25,13,55,7,5,30
392,1,2,1,1,8669,15,5,2019,15,19,0,7,12,15
393,3,2,1,1,14871,3,3,2019,35,1,30,17,8,5
394,4,2,1,1,12898,21,5,2019,0,19,0,14,5,0
395,8,0,2,0,3919,6,6,2019,20,12,30,9,2,50
396,6,2,1,1,36983,1,3,2019,15,19,50,12,6,25
397,3,1,4,0,3597,3,6,2019,55,21,35,19,2,20
398,1,0,5,0,10741,9,3,2019,45,19,0,17,2,45
399,1,3,0,2,11432,6,6,2019,35,5,50,16,12,45
400,4,0,5,1,11087,12,3,2019,45,10,55,18,15,50
401,4,2,1,2,13292,3,6,2019,35,12,35,9,27,0
402,1,2,1,3,10493,15,6,2019,40,7,15,5,26,25
403,2,0,5,0,7631,9,3,2019,40,10,45,7,2,55
404,1,2,1,2,13381,6,6,2019,40,7,50,6,24,50
405,4,3,0,1,13731,6,6,2019,40,4,0,20,8,40
406,1,2,1,2,11911,21,5,2019,40,7,55,5,25,45
407,3,0,2,0,4591,18,4,2019,20,2,30,23,2,50
408,6,2,1,1,14848,3,6,2019,15,19,0,13,6,15
409,6,2,1,1,8266,12,6,2019,15,19,45,8,10,30
410,1,2,1,2,12392,18,5,2019,15,19,15,17,26,0
411,4,3,0,1,13044,12,6,2019,0,12,55,18,17,5
412,4,2,1,1,12898,21,5,2019,25,4,5,7,21,20
413,4,2,1,1,12242,21,3,2019,25,4,50,22,5,35
414,3,0,2,0,3943,18,5,2019,0,13,10,10,2,50
415,9,3,0,1,11105,24,3,2019,10,22,20,20,25,50
416,4,3,0,1,14388,12,5,2019,20,9,10,21,12,10
417,4,2,1,2,13014,18,5,2019,35,12,30,19,17,5
418,6,2,1,1,15411,6,3,2019,50,18,20,10,8,30
419,4,2,1,1,16289,9,3,2019,50,18,45,19,23,5
420,3,2,1,1,6442,15,5,2019,10,16,50,6,9,20
421,4,3,0,1,10844,18,5,2019,20,16,25,8,7,55
422,4,4,3,0,5678,18,5,2019,50,11,20,10,1,30
423,3,0,2,0,6906,12,4,2019,20,2,30,23,2,50
424,8,1,4,0,3543,21,5,2019,0,12,45,9,2,15
425,4,2,1,1,14714,6,6,2019,0,19,0,9,10,0
426,10,0,5,0,11793,3,3,2019,35,18,0,16,2,35
427,6,2,1,1,14323,15,5,2019,15,19,30,11,7,45
428,8,0,2,0,3971,9,4,2019,5,0,10,21,2,55
429,9,3,0,1,8452,6,5,2019,40,22,20,20,26,20
430,9,0,2,0,5403,12,4,2019,40,9,0,7,2,40
431,6,2,1,1,13727,9,5,2019,0,21,0,10,11,0
